"prefix","id","level","class_name","article","status","source","create_date","target_url","publisher"
"10.1016",58999,"ERROR","Net::HTTPInternalServerError","10.1016/j.jinf.2011.08.002",500,"pmceuropedata","2014-11-11T11:46:30Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21839773/databaseLinks//1/json","Elsevier BV"
"10.1155",58998,"ERROR","Net::HTTPInternalServerError","10.1155/2012/685094",500,"pmceuropedata","2014-11-11T11:46:30Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21918652/databaseLinks//1/json","Hindawi Publishing Corporation"
"10.1016",58997,"ERROR","Net::HTTPInternalServerError","10.1016/j.atherosclerosis.2014.05.923",500,"pmceuropedata","2014-11-11T11:46:29Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/24911638/databaseLinks//1/json","Elsevier BV"
"10.3344",58996,"ERROR","Net::HTTPInternalServerError","10.3344/kjp.2011.24.3.131",500,"pmceuropedata","2014-11-11T11:46:29Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21935490/databaseLinks//1/json","Korean Pain Society (KAMJE)"
"10.1159",58995,"ERROR","Net::HTTPInternalServerError","10.1159/000349917",500,"pmceuropedata","2014-11-11T11:46:28Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/23626556/databaseLinks//1/json","S. Karger AG"
"10.1186",58994,"ERROR","Net::HTTPInternalServerError","10.1186/1475-2859-10-77",500,"pmceuropedata","2014-11-11T11:46:27Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21978209/databaseLinks//1/json","Springer Science + Business Media"
"10.1371",58993,"ERROR","Net::HTTPInternalServerError","10.1371/journal.pone.0035352",500,"pmceuropedata","2014-11-11T11:46:26Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22530007/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1186",58992,"ERROR","Net::HTTPInternalServerError","10.1186/1471-2415-13-22",500,"pmceuropedata","2014-11-11T11:46:26Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/23758702/databaseLinks//1/json","Springer Science + Business Media"
"10.1038",58991,"ERROR","Net::HTTPInternalServerError","10.1038/srep00358",500,"pmceuropedata","2014-11-11T11:46:25Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22496954/databaseLinks//1/json","Nature Publishing Group"
"10.1016",58919,"ERROR","Net::HTTPInternalServerError","10.1016/j.immuni.2010.12.015",500,"pmceuropedata","2014-11-05T11:49:16Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21236705/databaseLinks//1/json","Elsevier BV"
"10.1016",58917,"ERROR","Net::HTTPInternalServerError","10.1016/j.pt.2010.12.004",500,"pmceuropedata","2014-11-05T11:47:31Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21237711/databaseLinks//1/json","Elsevier BV"
"10.1021",58910,"ERROR","Net::HTTPInternalServerError","10.1021/ja209868g",500,"pmceuropedata","2014-11-05T11:46:42Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22397453/databaseLinks//1/json","American Chemical Society (ACS)"
